Experiment,Test F1 Macro,Test Accuracy,Test AUC,Test Recall,Threshold
MLP_arch4h_a0.1_lr0.005_s76,0.4868,0.5217,0.4048,0.4881,0.39
MLP_arch4h_a0.05_lr0.0005_s76,0.4868,0.5217,0.4365,0.4881,0.6
SpecMFCC|NoSMOTE|K100|MLP76,0.4868,0.5217,0.3968,0.4881,0.39
MLP_arch4h_a0.1_lr0.001_s76,0.4866,0.5652,0.4444,0.504,0.79
Spec|NoSMOTE|K50|RF,0.4866,0.5652,0.3135,0.504,0.4
Spec|SMOTE-tomek|K150|ET,0.4866,0.5652,0.4048,0.504,0.4
Spec|SMOTE-tomek|K75|LGB,0.4866,0.5652,0.4127,0.504,0.89
Spec|SMOTE-enn|K100|SVM_C10,0.4773,0.4783,0.4048,0.5119,0.47
Spec|SMOTE-enn|K100|SVM_C100,0.4773,0.4783,0.3968,0.5119,0.51
MLP_arch4h_a0.01_lr0.005_s76,0.4773,0.4783,0.373,0.5119,0.33
Spec|SMOTE-enn|K50|ET,0.4773,0.4783,0.3413,0.4921,0.39
Spec|SMOTE-borderline|K100|RF,0.4773,0.4783,0.4127,0.5119,0.36
Spec|SMOTE-borderline|K50|ET,0.4773,0.4783,0.377,0.5119,0.3
Spec|SMOTE-tomek|K50|ET,0.4773,0.4783,0.2738,0.5119,0.31
Spec|NoSMOTE|K100|SVM_C10,0.4773,0.4783,0.4921,0.4921,0.38
Spec|SMOTE-smote|K50|ET,0.4773,0.4783,0.3373,0.5119,0.28
Spec|SMOTE-enn|PCA|SVM_C10,0.4773,0.4783,0.4127,0.5119,0.26
Spec|SMOTE-enn|PCA|SVM_C100,0.4773,0.4783,0.4127,0.5119,0.26
Spec|NoSMOTE|PCA|SVM_C100,0.4692,0.4783,0.4206,0.4722,0.38
SpecMFCC|SMOTE|PCA|XGB,0.4692,0.4783,0.381,0.4722,0.51
MLP_arch4h_a0.05_lr0.0005_s0,0.4692,0.4783,0.3968,0.4722,0.28
Spec|SMOTE-enn|PCA|GBM,0.4692,0.4783,0.4841,0.5317,0.1
MLP_arch4h_a0.1_lr0.0005_s0,0.4692,0.4783,0.3889,0.4722,0.28
MLP_arch4h_a0.01_lr0.0005_s0,0.4692,0.4783,0.381,0.4722,0.29
MLP_arch4h_a0.001_lr0.0005_s0,0.4692,0.4783,0.373,0.4722,0.3
Spec|SMOTE-borderline|K50|SVM_C10,0.4623,0.6087,0.381,0.5198,0.59
Spec|NoSMOTE|K100|SVM_C100,0.4623,0.6087,0.4762,0.5198,0.39
Spec|SMOTE-smote|K100|ET,0.4524,0.4783,0.3254,0.4524,0.4
Spec|SMOTE-smote|K150|ET,0.4524,0.4783,0.3849,0.5516,0.22
Spec|SMOTE-enn|K100|GBM,0.4524,0.4783,0.4683,0.5516,0.1
Spec|SMOTE-tomek|K75|ET,0.4348,0.4348,0.2976,0.4563,0.33
Spec|NoSMOTE|K75|ET,0.4305,0.4348,0.3135,0.4365,0.3
Spec|SMOTE-borderline|K150|ET,0.4305,0.4348,0.3333,0.4365,0.35
Spec|SMOTE-borderline|K100|ET,0.425,0.4783,0.3254,0.5714,0.19
Spec|SMOTE-enn|PCA|LR,0.4172,0.4348,0.3333,0.496,0.1
Spec|NoSMOTE|K75|SVM_C10,0.3935,0.4348,0.4444,0.5159,0.38
Spec|NoSMOTE|K100|ET,0.3935,0.4348,0.2738,0.3968,0.34
Spec|SMOTE-smote|K75|ET,0.3935,0.4348,0.2698,0.3968,0.37
Spec|NoSMOTE|K150|ET,0.3935,0.4348,0.2778,0.5159,0.19
SpecMFCC|ENN|K100|XGB,0.3902,0.3913,0.2341,0.4008,0.15
Spec|NoSMOTE|K50|ET,0.3902,0.3913,0.2937,0.4206,0.27
Spec|NoSMOTE|K75|SVM_C100,0.3902,0.3913,0.4603,0.4206,0.38
Spec|SMOTE-enn|PCA|LGB,0.3784,0.6087,0.5,0.5,0.5
Spec|NoSMOTE|PCA|SVM_C10,0.3784,0.6087,0.5714,0.5,0.39
SpecMFCC|ENN|K100|LGB,0.3784,0.6087,0.5,0.5,0.5
Spec|SMOTE-enn|K150|LGB,0.3784,0.6087,0.5,0.5,0.5
Spec|SMOTE-borderline|K75|ET,0.3784,0.6087,0.1905,0.5,0.59
Spec|SMOTE-enn|K50|LGB,0.3784,0.6087,0.5,0.5,0.51
Spec|SMOTE-enn|K75|LGB,0.3784,0.6087,0.5,0.5,0.51
Spec|SMOTE-enn|K100|XGB,0.3784,0.6087,0.5,0.5,0.26
Spec|SMOTE-enn|K100|LGB,0.3784,0.6087,0.5,0.5,0.51
